Scheduled_Commercial_Banks,1.5,1.3,1.3,0.6,0.6,0.6
Public_Sector_Banks,1.6,1.3,1.2,0.6,0.6,0.6
Nationalised_Banks,1.6,1.3,1.1,0.5,0.4,0.4
Allahabad_Bank,1.6,1.2,1.1,0.7,0.5,0.4
Andhra_Bank,0.8,0.7,0.5,0.1,0.1,0.1
Bank_of_Baroda,1.5,1.1,0.8,0.4,0.3,0.2
Bank_of_India,1.5,1.1,1.1,0.4,0.3,0.3
Bank_of_Maharashtra,2.1,1.6,1.4,0.7,0.5,0.5
Canara_Bank,0.9,0.7,1,0.6,0.5,0.7
Central_Bank_of_India,2.8,1.9,1.6,0.9,0.9,0.7
Corporation_Bank,1.2,0.9,0.6,0.3,0.2,0.2
Dena_Bank,2.4,1.5,1.3,1.2,0.6,0.6
Indian_Bank,1,0.7,0.5,0.2,0.1,0.1
Indian_Overseas_Bank,1.4,1,1.6,0.3,0.4,0.8
Oriental_Bank_of_Commerce,2,1.4,0.9,0.3,0.6,0.4
Punjab_& Sind_Bank,1.3,0.4,0.4,0.4,0.2,0.2
Punjab_National_Bank,2.1,1.7,1.1,0.4,0.4,0.1
Syndicate_Bank,1.7,1.7,1.2,0.4,0.6,0.5
UCO_Bank,2,1.8,1.4,1.3,1.2,0.7
Union_Bank_of_India,1.8,1.3,1.2,0.6,0.1,0.2
United_Bank_of_India,1.9,1.4,1.6,0.8,0.6,0.8
Vijaya_Bank,1.3,0.9,1.1,0.3,0.3,0.5
State_Bank_Group,1.6,1.5,1.4,0.8,0.8,0.8
State_Bank_of_India,1.8,1.8,1.6,0.9,1,1
State_Bank_of_Bikaner_&,,,,,,
Jaipur,1.3,1.1,1.1,0.6,0.5,0.5
State_Bank_of_Hyderabad,0.7,0.5,0.6,0.1,0.1,0.2
State_Bank_of_Indore,1.2,0.9,0.9,0.6,0.5,0.6
State_Bank_of_Mysore,1.4,1.1,0.9,0.3,0.3,0.3
State_Bank_of_Patiala,1.1,0.9,0.8,0.5,0.4,0.4
State_Bank_of_Saurashtra,0.6,0.8,0.4,0.5,,
State_Bank_of_Travancore,1.4,1.3,1.1,0.7,0.6,0.4
Other_Public_Sector_Bank_IDBI_Bank_Ltd.,1.2,1.2,0.8,0.7,0.8,0.6or_Bank_IDBI_Bank_Ltd.
